location_id,shelter_id,shelter_name,address_1,city,county_parish,state,zip,shelter_status_code,assigned_geo_level,loc_id,tract_loc_id,county_loc_id,state_loc_id,latitude,longitude,state_contains_point,county_contains_point,nearest_county_loc_id,nearest_county_distance_deg,geo_classification
nss_shelters-73120,73120,BEST WESTERN BIDARKI INN,575 STERLING HWY,HOMER,KENAI PENINSULA,AK,99603.0,CLOSED,state,USA-AK,,,USA-AK,59.64142073,-151.55844031,False,True,USA-AK-122,0.0,runtime_missed_county_containment
nss_shelters-340149,340149,Bidarki Recreational Center,401 Council Ave,CORDOVA,VALDEZ CORDOVA,AK,99574.0,CLOSED,state,USA-AK,,,USA-AK,60.54779345,-145.76461209,False,False,USA-AK-261,0.0012614539629794918,outside_state_but_near_claimed_state_county
nss_shelters-339813,339813,Centennial Hall Convention Center,101 Egan Drive,JUNEAU,JUNEAU,AK,99801.0,CLOSED,state,USA-AK,,,USA-AK,58.29766275,-134.4063907,True,True,USA-AK-110,0.0,runtime_missed_county_containment
nss_shelters-353247,353247,Fawn Mountain Elementary School,400 Old Homestead Road,KETCHIKAN,KETCHIKAN GATEWAY,AK,99901.0,CLOSED,state,USA-AK,,,USA-AK,55.3120893,-131.5690523,True,True,USA-AK-130,0.0,runtime_missed_county_containment
nss_shelters-364886,364886,Gateway Rec Center,601 Schoenbar Rd,KETCHIKAN,KETCHIKAN GATEWAY,AK,99901.0,CLOSED,state,USA-AK,,,USA-AK,55.347008,-131.641343,True,True,USA-AK-130,0.0,runtime_missed_county_containment
nss_shelters-73468,73468,HERMON HUTCHENS ELEMENTARY,1009 W KLUTINA,VALDEZ,VALDEZ CORDOVA,AK,99686.0,CLOSED,state,USA-AK,,,USA-AK,61.13293733,-146.37335418,True,True,USA-AK-261,0.0,runtime_missed_county_containment
nss_shelters-358782,358782,Hogarth Kingeekuk Senior Memorial School,200 Main St,SAVOONGA,NOME,AK,99769.0,CLOSED,state,USA-AK,,,USA-AK,63.6953,-170.4979,False,False,USA-AK-180,0.0008587888044387351,outside_state_but_near_claimed_state_county
nss_shelters-353249,353249,Ketchikan High School,2610 4th Avenue,KETCHIKAN,KETCHIKAN GATEWAY,AK,99901.0,CLOSED,state,USA-AK,,,USA-AK,55.3525708,-131.6773899,True,True,USA-AK-130,0.0,runtime_missed_county_containment
nss_shelters-365512,365512,Martin L Olsen School,40 Main St,Golovin,Nome,AK,99762.0,CLOSED,state,USA-AK,,,USA-AK,64.542802,-163.034807,False,False,USA-AK-180,0.021209721027290334,outside_state_but_near_claimed_state_county
nss_shelters-363124,363124,McQueen high School,1 Main Street,KIVALINA,NORTHWEST ARCTIC,AK,99750.0,CLOSED,state,USA-AK,,,USA-AK,67.7293272,-164.5430219,False,False,USA-AK-188,0.01074318372781417,outside_state_but_near_claimed_state_county
nss_shelters-364322,364322,Mertarvik Evacuation Center,Mertarvik Evacuation Center,NEWTOK,BETHEL,AK,99559.0,CLOSED,state,USA-AK,,,USA-AK,60.82044,-164.50425,True,True,USA-AK-050,0.0,runtime_missed_county_containment
nss_shelters-353248,353248,North Point Higgins Elementary School,981 North Point Higgins Road,KETCHIKAN,KETCHIKAN GATEWAY,AK,99901.0,CLOSED,state,USA-AK,,,USA-AK,55.469795,-131.8194059,False,True,USA-AK-130,0.0,runtime_missed_county_containment
nss_shelters-354865,354865,POSS Camp Hotel,923 North Point Rd.,ST PAUL,ALEUTIANS WEST,AK,99660.0,CLOSED,state,USA-AK,,,USA-AK,57.1541139,-170.343107,False,False,USA-AK-016,0.005472251068653115,outside_state_but_near_claimed_state_county
nss_shelters-354866,354866,Privaloff School,930 Tolstoi Blvd.,ST PAUL,ALEUTIANS WEST,AK,99660.0,CLOSED,state,USA-AK,,,USA-AK,57.1214901,-170.2802492,False,False,USA-AK-016,0.03737171255611397,outside_state_but_near_claimed_state_county
nss_shelters-339852,339852,Tikigaq School,1837 Tikigaq Ave,Point Hope,NORTH SLOPE,AK,99766.0,CLOSED,state,USA-AK,,,USA-AK,68.31508493,-166.76095761,False,False,USA-AK-185,0.03515524132260502,outside_state_but_near_claimed_state_county
nss_shelters-344895,344895,Tok Dog Mushing Association,Mile 1311 Alaska Hwy,TOK,SOUTHEAST FAIRBANKS,AK,99780.0,CLOSED,state,USA-AK,,,USA-AK,62.61566797,-141.00215671,True,False,USA-AK-240,0.0006233388942960929,inside_state_near_county_edge
nss_shelters-354861,354861,Trident Fish Packing,1027 HAUL RD,ST PAUL,ALEUTIANS WEST,AK,99660.0,CLOSED,state,USA-AK,,,USA-AK,57.1234867,-170.2766225,False,False,USA-AK-016,0.03611279089467477,outside_state_but_near_claimed_state_county
nss_shelters-339853,339853,Unalakleet School,205 Main St,Unalakleet,NOME,AK,99684.0,CLOSED,state,USA-AK,,,USA-AK,63.8748109,-160.7901341,False,False,USA-AK-180,0.00015097693872337875,outside_state_but_near_claimed_state_county
nss_shelters-353250,353250,University of Alaska Southeast - Ketchikan,2600 7th Avenue,KETCHIKAN,KETCHIKAN GATEWAY,AK,99901.0,CLOSED,state,USA-AK,,,USA-AK,55.355507,-131.67746,True,True,USA-AK-130,0.0,runtime_missed_county_containment
nss_shelters-353244,353244,West Homer Elementary School,995 Soundview Ave,HOMER,KENAI PENINSULA,AK,99603.0,CLOSED,state,USA-AK,,,USA-AK,59.64332194,-151.5698866,False,True,USA-AK-122,0.0,runtime_missed_county_containment
nss_shelters-109328,109328,First Baptist Church Family Life Center,1121 East Main Street,Van Buren,GRAYS HARBOUR,AR,72956.0,CLOSED,state,USA-AR,,,USA-AR,46.97248245,-123.83755821,False,False,USA-AR-007,31.03984406746374,outside_claimed_state_far_away
nss_shelters-364549,364549,7TH DAY ADVENT- Ili'ili Village,Ili'ili Village,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.34241,-170.734993,False,False,,,no_county_bank_for_state
nss_shelters-330214,330214,ASSEMBLY- AFONO VILLAGE,AFONO VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.25894829,-170.65273625,True,False,,,no_county_bank_for_state
nss_shelters-330217,330217,ASSEMBLY- TULA VILLAGE,TULA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.2527184,-170.56620322,False,False,,,no_county_bank_for_state
nss_shelters-330222,330222,CATHOLIC SHELTER- 	LAULII VILLAGE,LAULII VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.28819776,-170.65463385,False,False,,,no_county_bank_for_state
nss_shelters-330207,330207,CATHOLIC SHELTER- AASU VILLAGE,AASU VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.27193368,-170.57570644,False,False,,,no_county_bank_for_state
nss_shelters-330218,330218,CATHOLIC SHELTER- ALAO VILLAGE,ALAO VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.26288895,-170.5658773,False,False,,,no_county_bank_for_state
nss_shelters-330219,330219,CATHOLIC SHELTER- AMANAVE VILLAGE,AMANAVE VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.32575629,-170.82922946,False,False,,,no_county_bank_for_state
nss_shelters-330221,330221,CATHOLIC SHELTER- ILIIILI UTA VILLAGE,ILIIILI UTA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.3473438,-170.74746641,True,False,,,no_county_bank_for_state
nss_shelters-330224,330224,CATHOLIC SHELTER- NUU'ULI TAI VILLAGE,NUU'ULI TAI VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.31022396,-170.70406228,False,False,,,no_county_bank_for_state
nss_shelters-364547,364547,Catholic Shelter- â¿¿Fagatogo Village,â¿¿Fagatogo Village,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.279444,-170.69,True,False,,,no_county_bank_for_state
nss_shelters-330226,330226,ELEMENTARY - ALOFAU VILLAGE,ALOFAU VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.27421966,-170.60347905,False,False,,,no_county_bank_for_state
nss_shelters-330227,330227,ELEMENTARY -LAULII VILLAGE,LAULII VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.28819776,-170.65463385,False,False,,,no_county_bank_for_state
nss_shelters-330210,330210,FAGAITUA HIGH SCHOOL,FAGAITUA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.26749162,-170.61421757,True,False,,,no_county_bank_for_state
nss_shelters-330228,330228,FAGAITUA HIGH SCHOOL-UTUSIA VILLAGE,UTUSIA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.27086473,-170.62111631,True,False,,,no_county_bank_for_state
nss_shelters-334604,334604,Faga'itua ECE,Faga'itua ECE,PAGO PAGO,Western (District),AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.26749162,-170.61421757,True,False,,,no_county_bank_for_state
nss_shelters-330229,330229,GURR RESIDE- MALOTA VILLAGE,MALOTA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.30416658,-170.81626518,True,False,,,no_county_bank_for_state
nss_shelters-330202,330202,LDS -AUTO VILLAGE,AUTO VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.27714873,-170.62860462,True,False,,,no_county_bank_for_state
nss_shelters-330232,330232,LDS -MAPUSAGA FOU VILLAGE,MAPUSAGA FOU VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799.0,CLOSED,state,USA-AS,,,USA-AS,-14.32424259,-170.75489282,True,False,,,no_county_bank_for_state
