location_id,shelter_id,shelter_name,address_1,city,county_parish,state,zip,shelter_status_code,assigned_geo_level,loc_id,tract_loc_id,county_loc_id,state_loc_id,latitude,longitude
nss_shelters-73120,73120,BEST WESTERN BIDARKI INN,575 STERLING HWY,HOMER,KENAI PENINSULA,AK,99603,CLOSED,state,USA-AK,,,USA-AK,59.64142073,-151.55844031
nss_shelters-340149,340149,Bidarki Recreational Center,401 Council Ave,CORDOVA,VALDEZ CORDOVA,AK,99574,CLOSED,state,USA-AK,,,USA-AK,60.54779345,-145.76461209
nss_shelters-339813,339813,Centennial Hall Convention Center,101 Egan Drive,JUNEAU,JUNEAU,AK,99801,CLOSED,state,USA-AK,,,USA-AK,58.29766275,-134.4063907
nss_shelters-353247,353247,Fawn Mountain Elementary School,400 Old Homestead Road,KETCHIKAN,KETCHIKAN GATEWAY,AK,99901,CLOSED,state,USA-AK,,,USA-AK,55.3120893,-131.5690523
nss_shelters-364886,364886,Gateway Rec Center,601 Schoenbar Rd,KETCHIKAN,KETCHIKAN GATEWAY,AK,99901,CLOSED,state,USA-AK,,,USA-AK,55.347008,-131.641343
nss_shelters-73468,73468,HERMON HUTCHENS ELEMENTARY,1009 W KLUTINA,VALDEZ,VALDEZ CORDOVA,AK,99686,CLOSED,state,USA-AK,,,USA-AK,61.13293733,-146.37335418
nss_shelters-358782,358782,Hogarth Kingeekuk Senior Memorial School,200 Main St,SAVOONGA,NOME,AK,99769,CLOSED,state,USA-AK,,,USA-AK,63.6953,-170.4979
nss_shelters-353249,353249,Ketchikan High School,2610 4th Avenue,KETCHIKAN,KETCHIKAN GATEWAY,AK,99901,CLOSED,state,USA-AK,,,USA-AK,55.3525708,-131.6773899
nss_shelters-365512,365512,Martin L Olsen School,40 Main St,Golovin,Nome,AK,99762,CLOSED,state,USA-AK,,,USA-AK,64.542802,-163.034807
nss_shelters-363124,363124,McQueen high School,1 Main Street,KIVALINA,NORTHWEST ARCTIC,AK,99750,CLOSED,state,USA-AK,,,USA-AK,67.7293272,-164.5430219
nss_shelters-364322,364322,Mertarvik Evacuation Center,Mertarvik Evacuation Center,NEWTOK,BETHEL,AK,99559,CLOSED,state,USA-AK,,,USA-AK,60.82044,-164.50425
nss_shelters-353248,353248,North Point Higgins Elementary School,981 North Point Higgins Road,KETCHIKAN,KETCHIKAN GATEWAY,AK,99901,CLOSED,state,USA-AK,,,USA-AK,55.469795,-131.8194059
nss_shelters-354865,354865,POSS Camp Hotel,923 North Point Rd.,ST PAUL,ALEUTIANS WEST,AK,99660,CLOSED,state,USA-AK,,,USA-AK,57.1541139,-170.343107
nss_shelters-354866,354866,Privaloff School,930 Tolstoi Blvd.,ST PAUL,ALEUTIANS WEST,AK,99660,CLOSED,state,USA-AK,,,USA-AK,57.1214901,-170.2802492
nss_shelters-339852,339852,Tikigaq School,1837 Tikigaq Ave,Point Hope,NORTH SLOPE,AK,99766,CLOSED,state,USA-AK,,,USA-AK,68.31508493,-166.76095761
nss_shelters-344895,344895,Tok Dog Mushing Association,Mile 1311 Alaska Hwy,TOK,SOUTHEAST FAIRBANKS,AK,99780,CLOSED,state,USA-AK,,,USA-AK,62.61566797,-141.00215671
nss_shelters-354861,354861,Trident Fish Packing,1027 HAUL RD,ST PAUL,ALEUTIANS WEST,AK,99660,CLOSED,state,USA-AK,,,USA-AK,57.1234867,-170.2766225
nss_shelters-339853,339853,Unalakleet School,205 Main St,Unalakleet,NOME,AK,99684,CLOSED,state,USA-AK,,,USA-AK,63.8748109,-160.7901341
nss_shelters-353250,353250,University of Alaska Southeast - Ketchikan,2600 7th Avenue,KETCHIKAN,KETCHIKAN GATEWAY,AK,99901,CLOSED,state,USA-AK,,,USA-AK,55.355507,-131.67746
nss_shelters-353244,353244,West Homer Elementary School,995 Soundview Ave,HOMER,KENAI PENINSULA,AK,99603,CLOSED,state,USA-AK,,,USA-AK,59.64332194,-151.5698866
nss_shelters-109328,109328,First Baptist Church Family Life Center,1121 East Main Street,Van Buren,GRAYS HARBOUR,AR,72956,CLOSED,state,USA-AR,,,USA-AR,46.97248245,-123.83755821
nss_shelters-364549,364549,7TH DAY ADVENT- Ili'ili Village,Ili'ili Village,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.34241,-170.734993
nss_shelters-330214,330214,ASSEMBLY- AFONO VILLAGE,AFONO VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.25894829,-170.65273625
nss_shelters-330217,330217,ASSEMBLY- TULA VILLAGE,TULA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.2527184,-170.56620322
nss_shelters-330222,330222,CATHOLIC SHELTER- 	LAULII VILLAGE,LAULII VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.28819776,-170.65463385
nss_shelters-330207,330207,CATHOLIC SHELTER- AASU VILLAGE,AASU VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.27193368,-170.57570644
nss_shelters-330218,330218,CATHOLIC SHELTER- ALAO VILLAGE,ALAO VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.26288895,-170.5658773
nss_shelters-330219,330219,CATHOLIC SHELTER- AMANAVE VILLAGE,AMANAVE VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.32575629,-170.82922946
nss_shelters-330221,330221,CATHOLIC SHELTER- ILIIILI UTA VILLAGE,ILIIILI UTA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.3473438,-170.74746641
nss_shelters-330224,330224,CATHOLIC SHELTER- NUU'ULI TAI VILLAGE,NUU'ULI TAI VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.31022396,-170.70406228
nss_shelters-364547,364547,Catholic Shelter- â¿¿Fagatogo Village,â¿¿Fagatogo Village,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.279444,-170.69
nss_shelters-330226,330226,ELEMENTARY - ALOFAU VILLAGE,ALOFAU VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.27421966,-170.60347905
nss_shelters-330227,330227,ELEMENTARY -LAULII VILLAGE,LAULII VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.28819776,-170.65463385
nss_shelters-330210,330210,FAGAITUA HIGH SCHOOL,FAGAITUA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.26749162,-170.61421757
nss_shelters-330228,330228,FAGAITUA HIGH SCHOOL-UTUSIA VILLAGE,UTUSIA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.27086473,-170.62111631
nss_shelters-334604,334604,Faga'itua ECE,Faga'itua ECE,PAGO PAGO,Western (District),AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.26749162,-170.61421757
nss_shelters-330229,330229,GURR RESIDE- MALOTA VILLAGE,MALOTA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.30416658,-170.81626518
nss_shelters-330202,330202,LDS -AUTO VILLAGE,AUTO VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.27714873,-170.62860462
nss_shelters-330232,330232,LDS -MAPUSAGA FOU VILLAGE,MAPUSAGA FOU VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.32424259,-170.75489282
nss_shelters-330235,330235,LDS -VATIA VILLAGE,VATIA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.25173458,-170.67447881
nss_shelters-330236,330236,LDS HALL,FALENIU VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.33009798,-170.74705946
nss_shelters-330237,330237,LDS HALL/AUTO,AVAIO VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.28007519,-170.63333597
nss_shelters-330238,330238,LDS SHELTER,NUU'ULI TAI VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.31022396,-170.70406228
nss_shelters-330233,330233,LDS- MESEPA VILLAGE,MESEPA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.25478844,-170.63238369
nss_shelters-330253,330253,LMS - FAGATOGO VILLAGE,FAGATOGO VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.2886432,-170.72360136
nss_shelters-330239,330239,LMS -ALAO VILLAGE,ALAO VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.26288895,-170.5658773
nss_shelters-330241,330241,LMS -AMANAVE VILLAGE,AMANAVE VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.32575629,-170.82922946
nss_shelters-330199,330199,LMS -AMAUA VILLAGE,AMAUA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.27199388,-170.62420276
nss_shelters-330242,330242,LMS -AMOULI VILLAGE,AMOULI VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.27281539,-170.58428377
nss_shelters-330243,330243,LMS -AOA VILLAGE,AOA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.26040878,-170.58492316
nss_shelters-330208,330208,LMS -AUASI VILLAGE,AUASI VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.27193368,-170.57570644
nss_shelters-330249,330249,LMS -FAGALII VILLAGE,FAGALII VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.30719517,-170.82604236
nss_shelters-330252,330252,LMS -FAGASA VILLAGE,FAGASA VILLAGE,PAGO PAGO,AMERICAN SAMOA,AS,96799,CLOSED,state,USA-AS,,,USA-AS,-14.28426006,-170.72045999
