location_id,shelter_id,shelter_name,address_1,city,county_parish,state,zip,shelter_status_code,assigned_geo_level,loc_id,tract_loc_id,county_loc_id,state_loc_id,latitude,longitude
nss_shelters-364741,364741,Crosswalk Community Church,2590 First Street,NAPA,NAPA,CA,94559,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364752,364752,Fireside Church Santa Cruz,311 Second St,SANTA CRUZ,SANTA CRUZ,CA,95060,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364788,364788,Harbor High School,300 La Fonda Ave,SANTA CRUZ,SANTA CRUZ,CA,95062,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-326579,326579,Hemet High School,41701 E Stetson Ave,Hemet,Riverside,CA,92544,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364739,364739,Joseph A Nelson Community Center,611 Village Drive,SUISUN CITY,SOLANO,CA,94585,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364866,364866,Los Olivos Community,101 Alfonso,IRVINE,ORANGE,CA,92618,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364784,364784,Outside - Santa Cruz Fairground,2601 East Lake Blvd,WATSONVILLE,SANTA CRUZ,CA,95076,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364864,364864,Quail Hill Community,39 Shady Canyon Rd,IRVINE,ORANGE,CA,92603,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364756,364756,Roadway Inn - Watsonville (COVID),1620 W. Beech Street,WATSONVILLE,MONTEREY,CA,95076,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364769,364769,Seventh Day Adventist Camp Grounds,1931 Soquel San Jose Rd,SOQUEL,SANTA CRUZ,CA,95073,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364736,364736,TEP - Healdsburg Park,1557 Healdsburg Ave,HEALDSBURG,SONOMA,CA,95448,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364746,364746,TEP - Lambrecht Sports Complex,Lambrecht Dr,SUISUN CITY,SOLANO,CA,94585,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364742,364742,TEP - Ragle Ranch,500 Ragle Road,SEBASTOPOL,SONOMA,CA,95472,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364811,364811,TEP - Santa Anita Racetrack,285 W Huntington Dr,ARCADIA,LOS ANGELES,CA,91007,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364735,364735,TEP - Santa Rosa Place to Play,2375 W 3rd St.,SANTA ROSA,SONOMA,CA,95401,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364740,364740,TEP - Schopflin Fields,4351 Old Redwood Highway,SANTA ROSA,SONOMA,CA,95403,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364737,364737,TEP - Spring Lake Park,5585 Newanga Ave,SANTA ROSA,SONOMA,CA,95405,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364744,364744,TEP - Vacaville Ice Center,551 Davis St,VACAVILLE,SOLANO,CA,95688,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364743,364743,TEP - West Marin School,11550 Shoreline Hwy,POINT REYES STATION,MARIN,CA,94956,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364734,364734,TEP - Westide Regional Park,2400 Westshore Rd,BODEGA BAY,SONOMA,CA,94923,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364861,364861,TEP -Embassy Suites Loveland,4705 Clydesdale Pkwy,SANTA CRUZ,SANTA CRUZ,CA,80538,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364865,364865,Village Church of Irvine,77 Post,IRVINE,ORANGE,CA,92618,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364745,364745,Will C. Wood High School,998 Marshall Rd,VACAVILLE,SOLANO,CA,95687,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364757,364757,Willows City Hall,201 N Lassen St.,WILLOWS,GLENN,CA,95988,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-364810,364810,Gunnison County Fairgrounds,275 South Spruce Street,GUNNISON,GUNNISON,CO,81230,CLOSED,state,USA-CO,,,USA-CO,0.0,0.0
nss_shelters-364862,364862,TEP - Embassy Suites Loveland,4705 Clydesdale Pkwy,LOVELAND,LARIMER,CO,80538,CLOSED,state,USA-CO,,,USA-CO,0.0,0.0
nss_shelters-364860,364860,TEP - Isle of Capri,401 Main St,BLACK HAWK,GILPIN,CO,80422,CLOSED,state,USA-CO,,,USA-CO,0.0,0.0
nss_shelters-330260,330260,Mulberry Middle School,500 Se 9Th Ave.,Mulberry,Polk,FL,33860,CLOSED,state,USA-FL,,,USA-FL,0.0,0.0
nss_shelters-364732,364732,Ntl Guard Readiness Center (Temporary Evacuation Point),402 E Scenic Dr,THE DALLES,WASCO,OR,97058,CLOSED,state,USA-OR,,,USA-OR,0.0,0.0
